Company Name,Link to Wikipedia Page,GICS Sector,GICS Sub-Industry,Headquarters Location,Industry,Revenue,Net Income,Number of Employees,Market Cap,CEO,Founder(s),Founded
NiSource,https://en.wikipedia.org/wiki/NiSource,Multi-Utilities,"Merrillville, Indiana",2000-11-02,Public utility,5.51,0.662,7364,,Lloyd Yates,,1912
Nordson Corporation,https://en.wikipedia.org/wiki/Nordson_Corporation,Industrial Machinery & Supplies & Components,"Westlake, Ohio",2022-02-15,,2.121,,6813,,Sundaram Nagarajan,Walter G. Nord,1954
Norfolk Southern Railway,https://en.wikipedia.org/wiki/Norfolk_Southern_Railway,Rail Transportation,"Atlanta, Georgia",1957-03-04,,,,,,,,
Northern Trust,https://en.wikipedia.org/wiki/Northern_Trust,Asset Management & Custody Banks,"Chicago, Illinois",1998-01-30,Financial services,6.59,1.46,35000,,Michael G. O'Grady,Byron Laflin Smith,1889
Northrop Grumman,https://en.wikipedia.org/wiki/Northrop_Grumman,Aerospace & Defense,"West Falls Church, Virginia",1957-03-04,"Aerospace,defense",39.3,2.06,101000,,Kathy J. Warden,,1994
Norwegian Cruise Line Holdings,https://en.wikipedia.org/wiki/Norwegian_Cruise_Line_Holdings,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017-10-13,Tourism,8.549,0.16616999999999998,41000,,Harry Sommer,,2011
NRG Energy,https://en.wikipedia.org/wiki/NRG_Energy,Independent Power Producers & Energy Traders,"Houston, Texas",2010-01-29,Electric utilities,28.82,0.202,18131,,Larry Coben,Seth Allen,1989
Nucor,https://en.wikipedia.org/wiki/Nucor,Steel,"Charlotte, North Carolina",1985-04-30,Steel,34.71,4.525,32000,,Leon Topalian,,1955
Nvidia,https://en.wikipedia.org/wiki/Nvidia,Semiconductors,"Santa Clara, California",2001-11-30,"Computer hardware, Computer software, Cloud computing, Semiconductors, Artificial intelligence, GPUs, Graphics cards, Consumer electronics, Video games",60.92,29.76,29600,,Jensen Huang,"Jensen Huang, Chris Malachowsky, Curtis Priem",1993
"NVR, Inc.","https://en.wikipedia.org/wiki/NVR,_Inc.",Homebuilding,"Reston, Virginia",2019-09-26,Home construction,"10,526,434,000 United States dollar (2022)",1.24,6600,,,Dwight Schar,1980
NXP Semiconductors,https://en.wikipedia.org/wiki/NXP_Semiconductors,Semiconductors,"Eindhoven, Netherlands",2021-03-22,Semiconductors,13.3,2.82,34200,,Kurt Sievers,,2006
O'Reilly Auto Parts,https://en.wikipedia.org/wiki/O%27Reilly_Auto_Parts,Automotive Retail,"Springfield, Missouri",2009-03-27,Retail,15.81,2.346,90302,,Brad Beckham,"Charles F. O'Reilly, Charles H. O'Reilly",1957
Occidental Petroleum,https://en.wikipedia.org/wiki/Occidental_Petroleum,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,Energy industry,26.314,2.332,11678,,,,1920
